"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu1",3970,1,0,0,0,0,0
"stu1",3972,1,0,0,0,0,0
"stu1",3980,1,0,0,0,0,0
"stu1",3985,1,0,0,0,0,0
"stu1",3987,1,0,0,0,0,0
"stu1",3992,1,0,0,0,0,0
"stu1",4000,1,0,0,0,0,0
"stu1",4017,0,0,0,0,0,0
"stu1",4018,1,0,0,0,0,0
"stu1",4024,1,0,0,0,0,0
"stu1",4029,1,0,0,0,0,0
"stu1",4046,1,0,0,1,0,0
"stu1",4052,1,0,0,1,0,0
"stu1",4057,1,0,0,1,0,0
"stu1",4133,1,0,0,0,0,1
"stu1",4142,1,0,0,0,0,1
"stu1",4143,1,0,0,0,0,1
"stu1",4175,1,0,0,0,0,1
"stu1",4176,1,0,0,0,0,1
"stu1",4201,0,0,0,0,0,1
"stu1",4202,1,0,0,0,0,1
"stu1",4203,1,0,0,0,0,1
"stu1",4216,1,0,0,0,0,1
"stu1",4239,0,0,0,0,0,1
"stu1",4240,1,0,0,0,0,1
"stu1",4241,1,0,0,0,0,1
"stu1",4242,1,0,0,0,0,1
"stu1",4247,1,0,0,0,0,1
"stu1",4249,1,0,0,0,0,1
"stu1",4250,1,0,0,0,0,1
"stu1",4264,1,0,0,0,0,1
"stu1",4272,1,0,0,0,0,1
"stu1",4276,1,0,0,0,0,1
"stu1",4288,1,0,0,0,0,1
"stu1",4296,1,0,0,0,0,1
"stu1",4301,1,0,0,0,0,1
"stu1",4303,1,0,0,0,0,1
"stu1",4304,1,0,0,0,0,1
"stu1",4307,1,0,0,0,0,1
"stu1",4310,0,0,0,0,0,1
"stu1",4311,1,0,0,0,0,1
"stu1",4415,1,0,0,0,1,0
"stu1",4430,1,0,0,0,1,0
"stu1",4432,1,0,0,0,1,0
"stu1",4466,1,0,0,0,1,0
"stu1",4473,1,0,0,0,1,0
"stu1",4506,1,0,0,0,1,0
"stu1",4542,1,0,0,0,1,0
"stu1",4626,0,0,0,0,1,0
"stu1",4628,1,0,0,0,1,0
"stu1",4670,1,0,0,0,1,0
"stu1",4764,1,0,0,0,0,0
"stu1",4768,1,0,0,0,0,0
"stu1",4769,1,0,0,0,0,0
"stu1",4770,0,0,0,0,0,0
"stu1",4772,1,0,0,0,0,0
"stu1",4777,1,0,0,0,0,0
"stu1",4778,1,0,0,0,0,0
"stu1",4782,1,0,0,0,0,0
"stu1",4787,1,0,0,0,0,0
"stu1",4788,1,0,0,0,0,0
"stu1",4790,1,0,0,0,0,0
"stu1",4792,1,0,0,0,0,0
"stu1",4796,0,0,0,0,0,0
"stu1",4800,1,0,0,0,0,0
"stu1",4823,1,0,0,0,0,0
"stu1",4832,1,0,0,0,0,0
"stu1",4834,1,0,0,0,0,0
"stu1",4835,1,0,0,0,0,0
"stu1",4836,0,0,0,0,0,0
"stu1",4839,1,0,0,0,0,0
"stu1",4848,1,0,0,0,0,0
"stu1",4849,1,0,0,0,0,0
"stu1",4854,1,0,0,0,0,0
"stu1",4870,1,0,0,0,0,0
"stu1",4892,1,0,0,0,0,0
"stu1",4900,1,0,0,0,0,0
"stu1",4928,1,0,0,0,0,0
"stu1",4951,0,0,0,0,0,0
"stu1",4953,1,0,0,0,0,0
"stu1",4958,0,0,0,0,0,0
"stu1",4960,1,0,0,0,0,0
"stu1",4972,1,0,0,0,0,0
"stu1",4978,0,0,0,0,0,0
"stu1",5014,1,0,0,0,0,0
"stu1",5049,1,0,0,0,0,0
